parameter,number_measurements,measurement_spacing,sample_size,bias,num_removed_values,lower_ci,upper_ci,lower_ci_perc,upper_ci_perc,sd_estimate,estimate,num_converged_values,pop_value,perc_error,conv_fail
theta_rand,5,Middle-and-extreme,200,0.06641451780761859,1,0.043394897518831486,0.05604498375680368,-0.6605102481168516,0.6044983756803676,0.0031831744722676455,0.049788591002326826,964,0.05,0.4228179953463529,0
theta_rand,5,Middle-and-extreme,500,0.11439392859275326,12,0.04559437212456341,0.053504038935030265,-0.4405627875436598,0.35040389350302625,0.002054883271736576,0.049764933829746526,885,0.05,0.47013234050695407,0
theta_rand,5,Middle-and-extreme,1000,0.07247221062287158,1,0.04710427890133959,0.05290940834674805,-0.28957210986604065,0.290940834674805,0.0014557093353228438,0.049894501526444805,768,0.05,0.21099694711039507,0
theta_rand,7,Equal,30,0.2330931715680854,0,0.034279134709524345,0.061678643082365495,-1.5720865290475659,1.1678643082365496,0.006975221648343526,0.04837412346359724,996,0.05,3.2517530728055215,0
theta_rand,7,Equal,50,0.18315225613851205,2,0.037848105613619024,0.06032365729329076,-1.215189438638098,1.0323657293290762,0.005699211936596514,0.04895617647560081,999,0.05,2.08764704879838,0
theta_rand,7,Equal,100,0.17204424885922867,1,0.041585374652984855,0.05713521936717097,-0.8414625347015147,0.7135219367170963,0.004040380963613475,0.049304875692009996,997,0.05,1.3902486159800138,0
theta_rand,7,Equal,200,0.0723951258521556,1,0.04435550585467796,0.05544298218188791,-0.5644494145322042,0.5442982181887907,0.0028362889209666976,0.049794666506613544,993,0.05,0.41066698677291735,0
theta_rand,7,Equal,500,0.11284991274692328,1,0.046539108550777156,0.05323513112634974,-0.34608914492228443,0.3235131126349739,0.001742384368174646,0.04980337207607989,990,0.05,0.3932558478402237,0
theta_rand,7,Equal,1000,0.09415391721056374,1,0.047271862419849875,0.05222721388733683,-0.2728137580150132,0.22272138873368275,0.0012698402986944352,0.04988043956164609,986,0.05,0.23912087670782678,0
theta_rand,7,Time increasing,30,0.23456997629182685,3,0.03533098908360702,0.06142507655024689,-1.4669010916392984,1.1425076550246887,0.006701541795103085,0.048428019500003985,999,0.05,3.143960999992035,0
theta_rand,7,Time increasing,50,0.15212122320625027,0,0.03917447467823032,0.06009616573356784,-1.0825525321769678,1.0096165733567837,0.005298459610558044,0.049193991842933,999,0.05,1.6120163141340043,0
theta_rand,7,Time increasing,100,0.040575105058436214,0,0.042324161901849636,0.057130240584583616,-0.7675838098150367,0.7130240584583615,0.003963494407113408,0.04983918079803285,1000,0.05,0.32163840393430176,0
theta_rand,7,Time increasing,200,0.1094182426604957,0,0.044186155220998544,0.055213345215166916,-0.5813844779001464,0.5213345215166917,0.0027907016347165875,0.04969464633133954,999,0.05,0.6107073373209232,0
theta_rand,7,Time increasing,500,0.01640988320542021,0,0.046506566654517634,0.05343477746103601,-0.34934333454823674,0.34347774610360077,0.0017732885626401318,0.04997090054179757,997,0.05,0.058198916404864076,0
theta_rand,7,Time increasing,1000,0.07105514205373509,0,0.04767398909615216,0.052155318817913715,-0.23260109038478394,0.2155318817913709,0.001178660061433556,0.04991625014190178,1000,0.05,0.16749971619645088,0
theta_rand,7,Time decreasing,30,0.2071975264008374,1,0.034025969250137234,0.06294638795828039,-1.5974030749862769,1.2946387958280385,0.007258632482213075,0.04849602930463268,998,0.05,3.007941390734639,0
theta_rand,7,Time decreasing,50,0.14825652001145273,0,0.03768606757791244,0.05984733496652728,-1.2313932422087566,0.9847334966527272,0.005853637544591107,0.04913216006823054,996,0.05,1.7356798635389248,0
theta_rand,7,Time decreasing,100,0.08288970660829499,1,0.0411816705681101,0.05806785904933376,-0.8818329431889903,0.8067859049333755,0.004541674530662095,0.049623541930643056,999,0.05,0.7529161387138938,0
theta_rand,7,Time decreasing,200,0.14555184009477462,4,0.04386324309656095,0.05514756402539332,-0.613675690343905,0.5147564025393316,0.002890406843368918,0.04957929596532513,984,0.05,0.84140806934975,0
theta_rand,7,Time decreasing,500,0.025104847494473653,0,0.04633852663371212,0.05360773852638895,-0.36614733662878796,0.36077385263889483,0.001890664471152557,0.0499525351567885,985,0.05,0.09492968642300925,0
theta_rand,7,Time decreasing,1000,0.036453254250097794,3,0.04737351521941952,0.052703411648431536,-0.2626484780580479,0.27034116484315285,0.0013546916264699483,0.049950617081709815,956,0.05,0.09876583658037508,0
theta_rand,7,Middle-and-extreme,30,0.20870125108537457,2,0.03415855753940042,0.06270166948744352,-1.5841442460599582,1.2701669487443525,0.007279608136501929,0.04848073667450078,998,0.05,3.0385266509984494,0
theta_rand,7,Middle-and-extreme,50,0.17247936305684858,1,0.037722394797966866,0.06021448664564613,-1.2277605202033137,1.0214486645646133,0.005966212931747481,0.048970951393670664,999,0.05,2.0580972126586774,0
